1.Age;2.Gender;3.Residence Area;4.Favorite Video Call Tool;5.For Business or Non-Business;6.Favorite Business Communication Tool;7.Main purpose of Use;8-How satisfied are you with Microsoft Teams in meeting your overall needs? Please rate on a scale of 1 to 5.;9-How would you rate the ease of navigating and using Microsoft Teams? Please rate on a scale of 1 to 5.;10-How satisfied are you with the range of features and capabilities offered by Microsoft Teams? Please rate on a scale of 1 to 5.;11-How confident do you feel about the security measures implemented in Microsoft Teams for protecting sensitive business/personal information? Please rate on a scale of 1 to 5.;12- How reliable is the performance of Microsoft Teams in terms of audio and video quality during meetings or calls? Please rate on a scale of 1 to 5.;13- How accessible is Microsoft Teams across different devices and platforms (e.g., desktop, mobile, web, tablet)? Please rate on a scale of 1 to 5.;"14-How important do you feel about the following elements in using Microsoft Teams? Rate each feature from 1 (not important) to 5 (very important).
 [-Usability (Simple to use)]";"14-How important do you feel about the following elements in using Microsoft Teams? Rate each feature from 1 (not important) to 5 (very important).
 [-Functionality]";"14-How important do you feel about the following elements in using Microsoft Teams? Rate each feature from 1 (not important) to 5 (very important).
 [-Security]";"14-How important do you feel about the following elements in using Microsoft Teams? Rate each feature from 1 (not important) to 5 (very important).
 [-Stability]";"14-How important do you feel about the following elements in using Microsoft Teams? Rate each feature from 1 (not important) to 5 (very important).
 [-Accessibility]"
2;1;2;1;1;1;1;3;2;2;4;5;5;5;5;5;5;5
4;2;2;1;1;1;2;4;5;4;4;4;5;5;4;5;5;5
3;2;3;1;2;5;3;4;5;4;3;3;4;4;3;3;3;5
2;2;6;1;1;1;1;4;4;4;4;4;4;4;4;5;5;4
2;2;6;5;2;1;1;5;5;5;5;4;4;3;3;2;3;3
2;2;6;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5
2;1;6;1;1;1;2;5;5;4;4;4;4;5;5;5;5;5
3;2;6;1;1;1;2;5;5;4;4;4;5;5;5;5;5;5
2;1;3;1;1;1;1;4;4;4;3;4;4;4;5;5;5;5
3;2;3;1;2;1;1;4;4;5;4;5;5;4;5;4;4;5
4;2;3;4;2;4;3;3;1;3;4;3;2;5;3;5;5;3
3;1;3;2;1;1;2;4;2;4;4;3;1;4;4;4;3;2
2;2;3;6;1;1;2;5;5;5;4;4;5;5;5;4;4;5
2;2;3;3;1;1;1;4;4;5;4;3;4;5;4;4;4;5
3;1;3;2;1;1;1;4;4;4;4;3;3;5;4;4;5;5
3;2;3;4;1;3;2;3;2;1;4;2;3;4;4;3;4;4
4;2;3;1;1;1;2;4;3;4;;5;;5;3;;;
4;2;3;1;1;1;1;4;4;4;4;3;4;5;4;5;5;4
5;2;3;1;1;1;1;5;5;4;4;4;4;5;5;5;5;5
3;2;3;2;1;4;1;5;4;4;4;4;5;5;5;4;4;4
3;1;3;1;1;1;2;4;4;4;4;4;4;4;5;5;5;4
3;1;3;1;1;1;2;4;4;4;4;4;4;5;5;5;5;5
2;2;3;1;1;4;3;4;4;4;3;4;4;3;4;4;5;4
4;2;3;3;1;2;1;4;3;4;;4;;3;3;;3;3
1;2;3;1;1;1;1;5;4;5;4;4;5;4;5;3;5;4
2;2;3;2;1;1;1;5;3;4;2;4;5;4;5;5;4;3
3;1;3;1;1;1;2;4;4;4;4;4;4;5;5;5;5;4
3;1;3;6;1;2;1;5;4;4;4;5;4;5;5;5;5;5
3;1;3;3;1;2;1;4;5;4;4;4;4;5;5;5;5;5
3;2;3;1;1;1;1;3;5;4;1;4;5;5;5;1;5;
2;2;3;2;1;1;1;5;5;5;4;4;3;5;5;3;5;4
1;2;3;2;1;1;1;4;5;3;3;5;5;5;5;3;4;4
3;2;3;1;1;4;2;4;3;4;2;3;5;5;5;5;5;4
3;2;3;5;1;2;2;4;3;3;4;2;3;4;3;3;2;3
5;2;3;1;1;1;1;5;5;4;3;4;;4;4;5;5;
4;2;3;4;1;3;1;4;4;4;3;4;3;4;4;3;4;3
2;2;3;1;1;1;2;4;3;4;3;3;3;4;5;3;4;4
2;2;3;1;1;1;1;4;3;4;4;4;4;5;5;2;5;5
5;2;3;1;1;1;2;4;3;4;3;4;4;4;4;5;5;3
5;2;3;1;1;1;2;4;4;4;3;4;4;5;5;5;5;5
3;1;3;1;1;3;2;4;4;4;3;4;4;5;5;5;5;5
1;2;3;2;1;1;2;4;3;3;3;3;4;3;4;4;4;3
3;2;3;2;1;1;2;4;4;4;4;4;4;4;4;4;4;4
5;1;3;1;1;1;2;3;3;3;2;2;3;4;4;5;5;5
3;2;3;4;1;1;2;3;4;3;3;4;3;4;3;3;4;3
5;2;3;1;1;1;1;5;4;4;3;4;5;4;5;4;4;4
4;2;3;1;1;1;1;5;5;5;1;4;5;4;4;4;4;4
3;2;1;5;1;1;3;2;2;2;1;2;2;;;;;
5;2;3;1;1;1;1;4;4;4;4;4;3;4;4;3;4;4
4;1;2;1;1;3;1;5;4;4;4;4;5;4;4;4;4;4
3;2;3;3;1;3;1;3;2;4;4;3;3;5;4;4;5;4
2;1;3;1;1;1;1;4;4;5;3;4;4;5;5;3;5;5
3;1;3;3;1;2;2;4;3;3;5;4;2;3;3;4;3;2
2;2;3;4;1;1;1;5;5;4;3;5;4;5;5;5;5;5
4;2;3;3;1;2;1;2;1;2;3;4;4;4;4;2;4;4
2;2;3;1;1;1;1;4;4;4;3;4;5;4;4;1;1;1
2;1;3;1;1;1;1;3;2;4;3;4;4;5;5;3;4;4
2;1;3;4;1;3;1;4;4;4;4;4;5;5;4;4;5;4
3;1;3;2;1;3;1;4;4;4;4;3;4;4;4;4;4;4
3;2;3;4;1;4;1;4;3;4;4;3;5;3;4;4;4;3
4;2;3;4;1;2;3;4;4;3;4;4;4;4;4;4;4;4
2;2;3;4;1;1;1;3;1;3;3;4;1;4;2;2;4;4
2;2;3;4;1;2;1;4;3;4;3;4;5;3;4;2;3;3
3;1;3;6;1;4;1;2;1;3;4;2;4;5;4;3;5;3
2;1;3;3;1;4;2;4;5;4;4;4;4;1;1;3;1;
4;2;3;1;1;1;2;5;4;4;4;4;5;4;4;3;3;4
3;2;3;1;1;1;1;2;1;2;1;3;1;2;2;2;2;1
3;1;3;4;1;3;1;4;4;5;5;4;5;4;4;3;4;4
4;2;3;3;1;3;1;4;4;4;5;4;3;5;5;3;5;5
6;2;2;4;1;3;1;3;3;3;3;4;4;5;5;5;5;5
3;1;3;2;1;1;1;3;4;4;2;3;4;3;3;2;3;2
2;1;3;4;1;2;1;3;4;2;4;4;4;4;4;5;5;3
4;1;3;2;1;1;1;3;2;3;3;4;4;4;4;3;4;4
6;2;3;1;1;1;1;4;3;4;4;4;4;4;4;4;4;4
2;2;3;1;1;1;1;4;4;4;3;4;4;4;4;5;4;4
1;1;3;2;2;1;3;5;4;5;3;4;5;5;5;5;5;5
3;2;2;1;1;1;1;5;5;5;5;4;5;5;5;5;5;5
4;2;3;1;1;1;1;4;5;5;3;5;4;5;5;5;5;5
3;1;3;1;1;1;1;3;3;3;3;2;4;4;4;4;4;4
3;2;3;1;1;4;1;5;4;5;5;4;4;5;5;4;5;5
3;2;3;4;1;2;1;4;3;3;4;3;3;5;5;5;5;5
2;2;3;1;1;1;1;4;4;3;3;2;4;5;5;5;4;3
4;2;3;3;1;2;1;4;4;4;3;4;4;5;4;4;4;4
2;2;3;3;1;2;1;4;4;4;3;3;4;4;5;5;5;4
4;1;2;1;1;1;1;3;3;4;4;3;2;5;4;4;5;5
3;1;3;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5
2;2;6;5;;5;3;5;5;5;5;5;5;5;5;5;5;5
2;2;2;3;1;2;2;5;4;4;3;4;5;5;4;5;5;4
3;1;5;4;1;2;2;5;5;4;5;5;5;5;5;5;5;5
2;1;2;1;1;1;2;4;4;4;3;4;3;5;5;5;5;5
4;2;3;1;1;1;1;4;4;4;3;4;4;5;4;5;5;5
2;2;6;4;1;3;1;5;5;5;5;5;5;5;4;5;5;5
;;3;2;2;4;1;4;4;4;3;4;4;5;5;5;5;5
2;2;3;3;1;1;1;3;2;4;3;4;4;3;4;3;4;4
2;2;4;3;1;2;2;5;5;5;4;5;4;5;5;5;5;5
2;1;4;5;2;6;1;5;5;5;5;5;5;5;4;5;4;5
3;2;3;1;1;1;2;4;4;4;3;3;5;4;4;4;4;4
5;2;3;4;1;3;1;5;4;5;2;5;3;5;5;5;5;5
6;2;4;5;2;1;1;4;4;4;2;4;4;4;4;5;4;4
3;2;4;1;1;5;3;5;5;5;3;4;4;5;5;4;5;5
3;2;4;1;1;1;2;4;4;4;4;4;5;4;4;2;4;3
3;1;4;5;;5;3;3;3;3;4;4;3;4;3;3;3;4
2;1;4;4;1;3;1;4;4;4;4;4;4;4;4;4;3;4
4;2;3;3;1;2;3;4;4;4;3;2;3;5;5;4;5;5
3;1;2;3;1;5;1;3;4;4;4;5;5;5;5;4;3;4
4;2;2;3;1;2;1;4;4;4;5;4;4;4;4;4;4;4
2;2;5;2;1;1;1;5;3;4;3;5;5;5;5;4;5;4
3;1;2;4;1;4;1;3;4;4;3;4;3;5;4;5;5;5
2;1;2;1;1;2;1;4;5;5;2;4;5;5;5;5;5;5
2;2;3;4;1;3;2;4;3;3;2;4;4;5;5;5;5;4
2;2;2;2;1;1;2;4;3;5;5;4;5;5;5;4;5;4